AWSFileName	AWSFolderName
Gippsland_M_SAWS70	VIC_South_Gippsland
Gippsland_F_SAWS71	VIC_South_Gippsland
Gippsland_F_SAWS72	VIC_South_Gippsland
Gippsland_M_SAWS84	VIC_South_Gippsland
SHBS_F_SAWS10	VIC_Strathbogies
SHBS_M_SAWS24	VIC_Strathbogies
SHBS_F_SAWS03	VIC_Strathbogies
SHBS_M_SAWS32	VIC_Strathbogies
SHBS_M_SAWS37	VIC_Strathbogies
SHBS_F_SAWS04	VIC_Strathbogies
SHBS_M_SAWS05	VIC_Strathbogies
